"user.id","timestamp","SuperPower","blue","gold","green","int_ext","orange","p_color","s_color","sport"
"ids-36","2023-10-03 13:53:10","Fly",15,15,7,"Extrovert",9,"Blue","Gold","Yes"
"ids-30","2023-10-03 09:22:27","Freeze Time",14,13,7,"Introvert",12,"Blue","Gold","No"
"ids-37","2023-10-03 09:22:08","Invisibility",13,11,9,"Extrovert",13,"Blue","Orange","No"
"ids-2","2023-10-03 09:21:15","Freeze Time",16,7,13,"Introvert",14,"Blue","Orange","No"
"ids-25","2023-10-03 09:19:02","Freeze Time",10,12,11,"Extrovert",17,"Orange","Gold","Yes"
"ids-14","2023-10-03 09:18:46","Telepathy (read minds)",11,18,10,"Introvert",11,"Gold","Orange","Yes"
"ids-18","2023-10-03 09:18:19","Fly",6,9,20,"Introvert",15,"Green","Orange","Yes"
"ids-15","2023-10-03 09:18:15","Fly",15,10,13,"Introvert",12,"Blue","Green","No"
"ids-10","2023-10-03 09:17:40","Super Strength",17,14,11,"Extrovert",12,"Blue","Gold","No"
"ids-29","2023-10-03 09:17:25","Freeze Time",17,11,11,"Extrovert",11,"Blue","Orange","Yes"
"ids-8","2023-10-03 09:17:20","Freeze Time",17,9,18,"Introvert",6,"Green","Green","No"
"ids-23","2023-10-03 09:17:15","Super Strength",8,11,20,"Introvert",11,"Green","Gold","No"
"ids-17","2023-10-03 09:17:06","Fly",16,11,8,"Introvert",14,"Blue","Orange","No"
"ids-7","2023-10-03 09:16:39","Invisibility",17,14,9,"Extrovert",10,"Blue","Gold","No"
"ids-13","2023-10-03 09:16:31","Freeze Time",11,12,18,"Introvert",9,"Green","Gold","No"
"ids-5","2023-10-03 09:16:10","Invisibility",10,15,11,"Extrovert",12,"Green","Blue","Yes"
"ids-31","2023-10-03 09:16:09","Freeze Time",8,17,14,"Introvert",11,"Gold","Gold","Yes"
"ids-3","2023-10-03 09:16:07","Invisibility",18,13,9,"Introvert",10,"Blue","Gold","No"
"ids-19","2023-10-03 09:15:22","Invisibility",17,9,9,"Introvert",15,"Blue","Orange","Yes"
"ids-20","2023-10-03 09:15:20","Invisibility",13,18,9,"Introvert",10,"Gold","Blue","No"
"ids-21","2023-10-03 09:15:15","Fly",10,12,10,"Introvert",18,"Orange","Gold","No"
"ids-11","2023-10-03 09:15:10","Invisibility",10,15,11,"Extrovert",12,"Gold","Orange","Yes"
"ids-28","2023-10-03 09:14:49","Fly",13,15,10,"Introvert",11,"Gold","Blue","No"
"ids-22","2023-10-03 09:14:49","Fly",16,10,16,"Introvert",8,"Green","Blue","No"
"ids-16","2023-10-03 09:14:28","Fly",13,11,14,"Introvert",14,"Green","Blue","No"
