"user.id","timestamp","howmanypeople","stress","where","who","why"
"ids-7","2023-11-27 08:42:24",7,0,"home","friends and/or family","sleeping"
"ids-25","2023-11-13 17:08:52",20,2,"work","coworkers","money"
"ids-25","2023-11-13 17:07:15",3,0,"other's house","friends and/or family","girlfriends"
"ids-25","2023-11-13 17:06:36",34,2,"school","teachers and classmates","school"
"ids-25","2023-11-13 17:05:50",5,1,"home","friends and/or family","chilling"
"ids-24","2023-11-13 15:47:39",2,0,"home","friends and/or family","games"
"ids-24","2023-11-13 15:47:16",5,3,"commuting","strangers","helping"
"ids-24","2023-11-13 15:46:56",3,2,"other's house","friends and/or family","babysit"
"ids-24","2023-11-13 15:46:14",2,3,"home","friends and/or family","homework"
"ids-24","2023-11-13 15:45:43",13,3,"school","friends and/or family","practice"
"ids-24","2023-11-13 15:45:19",3,3,"public place","friends and/or family","softball"
"ids-24","2023-11-13 15:44:56",8,0,"other's house","friends and/or family","games"
"ids-24","2023-11-13 15:42:51",4,2,"public place","strangers","shopping"
"ids-24","2023-11-13 15:42:30",1,0,"home","friends and/or family","sleep"
"ids-24","2023-11-13 15:42:14",5,1,"school","friends and/or family","lunch"
"ids-10","2023-11-09 09:05:35",28,2,"school","teachers and classmates","requirement "
"ids-28","2023-11-09 09:03:05",26,0,"school","teachers and classmates","School"
"ids-35","2023-11-09 09:03:05",19,0,"school","teachers and classmates","to learn and graduate"
"ids-31","2023-11-09 09:02:54",24,0,"school","teachers and classmates","learning "
"ids-2","2023-11-09 09:02:53",29,1,"school","teachers and classmates","work"
"ids-32","2023-11-09 09:02:33",29,0,"school","teachers and classmates","eating"
"ids-1","2023-11-09 09:02:27",36,1,"school","teachers and classmates","education"
"ids-2","2023-11-09 09:02:25",29,1,"school","teachers and classmates","learn"
"ids-3","2023-11-09 09:02:22",29,1,"school","teachers and classmates","learning"
"ids-14","2023-11-09 09:02:10",29,1,"school","teachers and classmates","education"
"ids-7","2023-11-09 09:01:49",26,0,"school","teachers and classmates","snacking"
"ids-20","2023-11-09 09:01:42",30,2,"school","teachers and classmates","education"
"ids-19","2023-11-09 09:01:26",24,3,"school","teachers and classmates","learn"
"ids-17","2023-11-09 09:01:15",25,1,"school","teachers and classmates","education "
"ids-13","2023-11-09 09:00:51",29,2,"school","teachers and classmates","learn"
"ids-12","2023-11-09 09:00:49",30,2,"school","teachers and classmates","Education "
"ids-30","2023-11-09 09:00:04",23,0,"school","teachers and classmates","learn"
"ids-23","2023-11-09 09:00:01",17,0,"school","teachers and classmates","Education"
"ids-29","2023-11-09 08:59:28",26,1,"school","teachers and classmates","education "
"ids-30","2023-11-07 08:52:17",23,1,"school","teachers and classmates","learn "
"ids-10","2023-11-06 09:16:31",2,0,"home","friends and/or family","free"
"ids-32","2023-11-06 09:14:11",6,2,"work","coworkers","Money"
"ids-32","2023-11-06 09:13:33",6,1,"work","coworkers","Moneya"
"ids-30","2023-11-06 09:13:19",6,1,"home","friends and/or family","home"
"ids-30","2023-11-06 09:13:01",6,1,"home","friends and/or family","home"
"ids-10","2023-11-06 09:12:30",6,0,"public place","friends and/or family","chill"
"ids-28","2023-11-06 09:12:28",1,1,"public place","friends and/or family","Grocery"
"ids-32","2023-11-06 09:12:13",3,1,"school","friends and/or family","Game"
"ids-30","2023-11-06 09:12:12",5,2,"school","friends and/or family","Football "
"ids-32","2023-11-06 09:11:55",29,2,"school","teachers and classmates","Forced"
"ids-28","2023-11-06 09:11:53",3,0,"home","friends and/or family","Home"
"ids-30","2023-11-06 09:11:43",10,1,"school","teachers and classmates","learning"
"ids-10","2023-11-06 09:11:34",2,1,"home","friends and/or family","home "
"ids-28","2023-11-06 09:11:27",0,1,"commuting","alone","Visiting"
"ids-32","2023-11-06 09:11:25",4,0,"home","friends and/or family","Sleeping"
"ids-22","2023-11-06 08:44:37",2,0,"home","friends and/or family","Because I want to be"
"ids-22","2023-11-06 08:42:56",3,0,"home","friends and/or family","Because I live there"
"ids-19","2023-11-06 08:42:29",14,1,"public place","coworkers","working"
"ids-7","2023-11-06 08:39:26",4,0,"home","friends and/or family","FNAF"
"ids-19","2023-11-06 08:39:06",4,0,"other's house","friends and/or family","party"
"ids-19","2023-11-06 08:38:35",28,3,"school","teachers and classmates","forced"
"ids-7","2023-11-06 08:38:19",6,1,"home","friends and/or family","auditions"
"ids-7","2023-11-06 08:38:00",29,0,"school","teachers and classmates","forced"
"ids-23","2023-11-03 08:45:44",3,2,"work","coworkers","money"
"ids-13","2023-11-03 08:44:55",27,2,"school","teachers and classmates","learn"
"ids-23","2023-11-03 08:44:07",25,1,"school","teachers and classmates","education"
"ids-6","2023-11-02 08:48:53",1,0,"other's house","friends and/or family","hanging out "
"ids-6","2023-11-02 08:48:16",5,0,"home","friends and/or family","sleeping "
"ids-31","2023-11-02 08:47:59",24,0,"school","friends and/or family","learning "
"ids-12","2023-11-02 08:47:51",30,0,"school","friends and/or family","education"
"ids-27","2023-11-02 08:47:47",6,2,"work","coworkers","working"
"ids-6","2023-11-02 08:47:40",24,1,"school","alone","work "
"ids-11","2023-11-02 08:47:38",3,1,"home","friends and/or family","sleep"
"ids-31","2023-11-02 08:47:21",0,0,"public place","friends and/or family","soccer"
"ids-30","2023-11-02 08:47:17",9,1,"other's house","friends and/or family","invite"
"ids-8","2023-11-02 08:47:02",7,2,"public place","friends and/or family","party"
